"SCAN INDEX",      WAVENUMBER,"SCIENCE DIRECT ABSORPTION","SCIENCE HARMONIC ABSORPTION SPECTRA"
          70, 3058.3285983421,                          1,                                    0
          71,3058.32770373684,                          1,                                    0
          72,3058.32680913158,                          1,                                    0
          73,3058.32591452631,                          1,                                    0
          74,3058.32501992105,                          1,                                    0
          75,3058.32412531578,                          1,                                    0
          76,3058.32323071052,                          1,                                    0
          77,3058.32233610526,                          1,                                    0
          78,3058.32144149999,                          1,                                    0
          79,3058.32054689473,                          1,                                    0
          80,3058.31965228947,                          1,                                    0
          81,3058.31875768421,                          1,                                    0
          82,3058.31786307894,                          1,                                    0
          83,3058.31696847369,                          1,                                    0
          84,3058.31607386842,                          1,                                    0
          85,3058.31517926315,                          1,                                    0
          86,3058.31428465789,                          1,                                    0
          87,3058.31339005263,                          1,                                    0
          88,3058.31249544737,                          1,                                    0
          89, 3058.3116008421,                          1,                                    0
          90,3058.31070623684,                          1,                                    0
          91,3058.30981163157,                          1,                                    0
          92,3058.30891702631,                          1,                                    0
          93,3058.30802242105,                          1,                                    0
          94,3058.30712781578,                          1,                                    0
          95,3058.30623321052,                          1,                                    0
          96,3058.30533860526,                          1,                                    0
          97,3058.30444399999,                          1,                                    0
          98,3058.30354939473,                          1,                                    0
          99,3058.30265478946,                          1,                                    0
         100,3058.30176018421,                          1,                                    0
         101,3058.30086557895,                          1,                                    0
         102,3058.29997097368,                          1,                                    0
         103,3058.29907636841,                          1,                                    0
         104,3058.29818176314,                          1,                                    0
         105,3058.29728715789,                          1,                                    0
         106,3058.29639255263,                          1,                                    0
         107,3058.29549794736,                          1,                                    0
         108, 3058.2946033421,                          1,                                    0
         109,3058.29370873684,           0.99256633626023,                  0.00173189162976775
         110,3058.29281413159,          0.992646988111701,                 0.000961680864281826
         111,3058.29191952631,          0.992725650923519,                 0.000192239669040186
         112,3058.29102492105,          0.992804234837495,                -0.000960716310080796
         113,3058.29013031578,          0.992884646776966,                 -0.00211252052505737
         114,3058.28923571053,          0.993155023552401,                 -0.00326316880564183
         115,3058.28834110526,          0.993427035489404,                   -0.004412673197423
         116,    3058.2874465,          0.993313352010692,                 -0.00498574269348996
         117,3058.28655189474,          0.993585013426047,                 -0.00594157704787953
         118,3058.28565728946,          0.993662932368853,                 -0.00536390246892768
         119,3058.28476268421,          0.993934148751216,                 -0.00478681443243699
         120,3058.28386807894,          0.994011815612148,                 -0.00401891569654507
         121,3058.28297347368,          0.993900024675347,                 -0.00420819871879477
         122,3058.28207886841,          0.993977631201606,                 -0.00458847146544307
         123,3058.28118426315,          0.994246251273144,                 -0.00496836489200495
         124,3058.28028965789,          0.994134510887731,                 -0.00592087797070502
         125,3058.27939505263,          0.993830082927351,                 -0.00649063058385131
         126,3058.27850044736,          0.994291078665578,                 -0.00648741060729795
         127, 3058.2776058421,          0.994368297692585,                 -0.00648418145791099
         128,3058.27671123685,          0.994447335464428,                 -0.00590911776871713
         129,3058.27581663158,          0.994524400141748,                 -0.00571565747207901
         130,3058.27492202631,          0.994603282209874,                 -0.00571282758305499
         131,3058.27402742104,          0.994680192997649,                 -0.00456799170148174
         132,3058.27313281578,          0.994949158668708,                 -0.00475597112174335
         133,3058.27223821053,          0.994455388312963,                 -0.00475361084279619
         134,3058.27134360526,          0.995104299702001,                 -0.00399106002554278
         135,     3058.270449,          0.994990853606414,                 -0.00360916880842342
         136,3058.26955439473,           0.99468954636157,                 -0.00284793723905775
         137,3058.26865978947,          0.994955954744021,                 -0.00208745288998364
